CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,3,ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,FIS,"null",-651.804411,"null",0,"null",-651.804411,"null"
osmosis,osmosis-dex,2023-11-29,6,ibc/8A07D4BD40E0F44ECFDF360F7EA7008B288926FB87C54489FE54DB81A5340E0C,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,12,ibc/71DAA4CAFA4FE2F9803ABA0696BA5FC0EFC14305A2EA8B4E01880DB851B1EC02,BRNCH,"null",-97.738745,"null",0,"null",-97.738745,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/C1CEF00F016FE89EA6E5B07DA895AACD91B0AAD69A991033D846B988AD4FB69D,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,4,ibc/E42006ED917C769EDE1B474650EEA6BFE3F97958912B9206DD7010A28D01D9D5,PYTH,"null",-0.385265,"null",0,"null",-0.385265,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/423967B46B1A51D78619085105B04FCFA14F7CBC0BE7539A316B2DCDFC7D8C07,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,1,ibc/5164ECF584AD7DC27DA9E6A89E75DAB0F7C4FCB0A624B69215B8BC6A2C40CD07,SLCA,1.455078845,-0.184839,-0.2689553186,0.185025,0.2692259633,0.000186,0.0002706446651
osmosis,osmosis-dex,2023-11-29,149,ibc/EB7FB9C8B425F289B63703413327C2051030E848CE4EAAEA2E51199D6D39D3EC,TORI,0.009983378821,-323812.492792,-3232.742782514,6.746667,0.06735453244,-323805.746125,-3232.675427982
osmosis,osmosis-dex,2023-11-29,2,ibc/42D24879D4569CE6477B7E88206ADBFE47C222C6CAD51A54083E4A72594269FC,qOSMO,0.6647712835,-93.883237,-62.410879956,0,0,-93.883237,-62.410879956
osmosis,osmosis-dex,2023-11-29,97,ibc/6F62F01D913E3FFE472A38C78235B8F021B511BC6596ADFF02615C8F83D3B373,AVAX,21.070954568,-210.713478176,-4439.93412547,62.822796035,1323.736281076,-147.890682141,-3116.197844394
osmosis,osmosis-dex,2023-11-29,69,ibc/5E2DFDF1734137302129EA1C1BA21A580F96F778D4F021815EA4F6DB378DA1A4,FTM,0.3117073708,-4554.511610953,-1419.674839372,0,0,-4554.511610953,-1419.674839372
osmosis,osmosis-dex,2023-11-29,60,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076,REGEN,0.06176509854,-131034.49149,-8093.35827893,98209.051985,6065.891773307,-32825.439505,-2027.466505623
osmosis,osmosis-dex,2023-11-29,389,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F,FLIX,0.08966442304,-70260.893827,-6299.902507252,14854.162273,1331.889889947,-55406.731554,-4968.012617305
osmosis,osmosis-dex,2023-11-29,70,ibc/84502A75BCA4A5F68D464C00B3F610CE2585847D59B52E5FFB7C3C9D2DDCD3FE,stJUNO,0.6172650624,-729.641357,-450.382117779,0,0,-729.641357,-450.382117779
osmosis,osmosis-dex,2023-11-29,147,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,HUAHUA,0.00005265288493,-147903583.237639,-7787.550349062,86626409.544208,4561.130373698,-61277173.693431,-3226.419975364
osmosis,osmosis-dex,2023-11-29,110,ibc/F4A070A6D78496D53127EA85C094A9EC87DFC1F36071B8CCDDBD020F933D213D,BNB,229.190286302,-47.744419177,-10942.5571004,0,0,-47.744419177,-10942.5571004
